index,name,datatype,source_node,source_property
0,CONV11,REAL,CONV11,speed_tag_name
1,CONV12,REAL,CONV12,speed_tag_name
2,CONV13,REAL,CONV13,speed_tag_name
3,CONV14,REAL,CONV14,speed_tag_name
4,CONV15,REAL,CONV15,speed_tag_name
5,CONV16,REAL,CONV16,speed_tag_name
6,CONV17,REAL,CONV17,speed_tag_name
7,CONV18,REAL,CONV18,speed_tag_name
8,CONV19,REAL,CONV19,speed_tag_name
9,CONV21,REAL,CONV21,speed_tag_name
10,CONV22,REAL,CONV22,speed_tag_name
11,CONV23,REAL,CONV23,speed_tag_name
12,CONV24,REAL,CONV24,speed_tag_name
13,CONV25,REAL,CONV25,speed_tag_name
14,CONV26,REAL,CONV26,speed_tag_name
15,CONV27,REAL,CONV27,speed_tag_name
16,CONV28,REAL,CONV28,speed_tag_name
17,CONV31,REAL,CONV31,speed_tag_name
18,CONV32,REAL,CONV32,speed_tag_name
19,CONV33,REAL,CONV33,speed_tag_name
20,CONV34,REAL,CONV34,speed_tag_name
21,CONV35,REAL,CONV35,speed_tag_name
22,CONV36,REAL,CONV36,speed_tag_name
23,CONV37,REAL,CONV37,speed_tag_name
24,CONV38,REAL,CONV38,speed_tag_name
25,CONV39,REAL,CONV39,speed_tag_name
