index,name,datatype,source_node,source_property
0,PE11,BOOL,PE11,tag_name
1,PE110,BOOL,PE110,tag_name
2,PE111,BOOL,PE111,tag_name
3,PE112,BOOL,PE112,tag_name
4,PE113,BOOL,PE113,tag_name
5,PE12,BOOL,PE12,tag_name
6,PE13,BOOL,PE13,tag_name
7,PE14,BOOL,PE14,tag_name
8,PE15,BOOL,PE15,tag_name
9,PE16,BOOL,PE16,tag_name
10,PE17,BOOL,PE17,tag_name
11,PE18,BOOL,PE18,tag_name
12,PE19,BOOL,PE19,tag_name
13,PE21,BOOL,PE21,tag_name
14,PE22,BOOL,PE22,tag_name
15,PE23,BOOL,PE23,tag_name
16,PE24,BOOL,PE24,tag_name
17,PE25,BOOL,PE25,tag_name
18,PE26,BOOL,PE26,tag_name
19,PE27,BOOL,PE27,tag_name
20,PE31,BOOL,PE31,tag_name
21,PE32,BOOL,PE32,tag_name
22,PE33,BOOL,PE33,tag_name
23,PE34,BOOL,PE34,tag_name
24,PE35,BOOL,PE35,tag_name
25,PE36,BOOL,PE36,tag_name
26,PE37,BOOL,PE37,tag_name
27,PE38,BOOL,PE38,tag_name
28,R_CONV11,BOOL,CONV11,running_tag_name
29,R_CONV12,BOOL,CONV12,running_tag_name
30,R_CONV13,BOOL,CONV13,running_tag_name
31,R_CONV14,BOOL,CONV14,running_tag_name
32,R_CONV15,BOOL,CONV15,running_tag_name
33,R_CONV16,BOOL,CONV16,running_tag_name
34,R_CONV17,BOOL,CONV17,running_tag_name
35,R_CONV18,BOOL,CONV18,running_tag_name
36,R_CONV19,BOOL,CONV19,running_tag_name
37,R_CONV21,BOOL,CONV21,running_tag_name
38,R_CONV22,BOOL,CONV22,running_tag_name
39,R_CONV23,BOOL,CONV23,running_tag_name
40,R_CONV24,BOOL,CONV24,running_tag_name
41,R_CONV25,BOOL,CONV25,running_tag_name
42,R_CONV26,BOOL,CONV26,running_tag_name
43,R_CONV27,BOOL,CONV27,running_tag_name
44,R_CONV28,BOOL,CONV28,running_tag_name
45,R_CONV31,BOOL,CONV31,running_tag_name
46,R_CONV32,BOOL,CONV32,running_tag_name
47,R_CONV33,BOOL,CONV33,running_tag_name
48,R_CONV34,BOOL,CONV34,running_tag_name
49,R_CONV35,BOOL,CONV35,running_tag_name
50,R_CONV36,BOOL,CONV36,running_tag_name
51,R_CONV37,BOOL,CONV37,running_tag_name
52,R_CONV38,BOOL,CONV38,running_tag_name
53,R_CONV39,BOOL,CONV39,running_tag_name
